Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-14.305619	0.089421	0.785682	0.003900	0.447206
-14.375160	0.030441	0.790687	0.003913	0.446882
-14.405949	0.040964	0.795691	0.003919	0.446879
-14.702633	0.091166	0.800695	0.003973	0.446661
-14.606661	0.030078	0.805700	0.003955	0.446558
-14.587980	-0.006954	0.810704	0.003952	0.446441
-14.978413	0.081231	0.815708	0.004024	0.446239
-14.969301	0.068086	0.820713	0.004022	0.446201
-15.221659	0.088579	0.825717	0.004069	0.445929
-15.255526	0.100582	0.830722	0.004075	0.445928
-15.130412	0.046136	0.835726	0.004052	0.445891
-15.323969	0.041103	0.840730	0.004087	0.445602
-15.344526	0.014099	0.845735	0.004091	0.445469
-15.667188	0.085524	0.850739	0.004151	0.445296
-15.654661	0.079892	0.855743	0.004148	0.445292
-15.917991	0.104845	0.860748	0.004197	0.445021
-15.938379	0.102045	0.865752	0.004200	0.444982
-16.014167	0.129120	0.870756	0.004214	0.444981
-16.134353	0.105031	0.875761	0.004237	0.444720
-16.106540	0.079827	0.880765	0.004231	0.444661
-16.200525	0.079681	0.885769	0.004249	0.444529
-16.513641	0.142092	0.890774	0.004306	0.444334
-16.322733	0.059593	0.895778	0.004271	0.444280
-16.594913	0.090756	0.900782	0.004321	0.444021
-16.753439	0.146819	0.905787	0.004350	0.444017
-16.898327	0.172903	0.910791	0.004377	0.443916
-16.953129	0.136858	0.915795	0.004387	0.443699
-16.821676	0.076103	0.920800	0.004363	0.443646
-17.091037	0.106930	0.925804	0.004413	0.443389
-16.912829	0.018180	0.930808	0.004380	0.443293
-17.561034	0.193241	0.935813	0.004499	0.443067
-17.353233	0.119071	0.940817	0.004461	0.443069
-17.296358	0.044415	0.945821	0.004450	0.442857
-17.724503	0.172749	0.950826	0.004529	0.442758
-17.647352	0.098552	0.955830	0.004515	0.442576
-17.593760	0.046929	0.960835	0.004505	0.442450
-17.919711	0.143492	0.965839	0.004565	0.442370
-17.960882	0.113611	0.970843	0.004573	0.442195
-18.183561	0.193470	0.975848	0.004614	0.442194
-18.308538	0.172388	0.980852	0.004637	0.441936
-18.343048	0.165881	0.985856	0.004643	0.441862
-18.430590	0.197772	0.990861	0.004659	0.441864
-18.441973	0.135782	0.995865	0.004661	0.441605
-18.464782	0.128026	1.000960	0.004665	0.441543

-18.524283	0.148928	1.010957	0.004676	0.441541
-18.505221	0.143328	1.020954	0.004673	0.441546
-18.428393	0.179416	1.030950	0.004659	0.441795
-18.288284	0.197170	1.040947	0.004633	0.442061
-18.073105	0.186261	1.050944	0.004593	0.442320
-17.866964	0.173314	1.060941	0.004555	0.442559
-17.632104	0.140429	1.070938	0.004512	0.442760
-17.283173	0.092749	1.080934	0.004448	0.443063
-17.339045	0.150556	1.090931	0.004458	0.443210
-17.102082	0.159146	1.100928	0.004415	0.443575
-16.881255	0.154489	1.110925	0.004374	0.443866
-16.601805	0.114003	1.120922	0.004323	0.444099
-16.547005	0.176105	1.130918	0.004313	0.444417
-16.281968	0.148486	1.140915	0.004264	0.444679
-16.092575	0.184025	1.150912	0.004229	0.445082
-15.830646	0.145802	1.160909	0.004181	0.445298
-15.654236	0.147412	1.170906	0.004149	0.445550
-15.447212	0.157591	1.180902	0.004111	0.445878
-15.156147	0.104472	1.190899	0.004057	0.446077
-15.109373	0.149485	1.200896	0.004049	0.446317
-14.891224	0.162653	1.210893	0.004008	0.446671
-14.696290	0.169405	1.220890	0.003973	0.446968
-14.595415	0.218207	1.230886	0.003954	0.447296
-14.220465	0.160025	1.240883	0.003885	0.447591
-14.078351	0.181033	1.250880	0.003859	0.447869
-13.840214	0.158819	1.260877	0.003815	0.448114
-13.557267	0.135844	1.270874	0.003763	0.448417
-13.377688	0.127036	1.280870	0.003730	0.448631
-13.203219	0.106855	1.290867	0.003698	0.448795
-13.029504	0.119163	1.300864	0.003666	0.449082
-12.831871	0.121271	1.310861	0.003630	0.449363
-12.618413	0.123271	1.320858	0.003591	0.449666
-12.296379	0.067043	1.330854	0.003531	0.449894
-12.294357	0.132608	1.340851	0.003531	0.450148
-12.171241	0.165025	1.350848	0.003508	0.450442
-11.796908	0.120247	1.360845	0.003440	0.450786
-11.693030	0.149085	1.370842	0.003421	0.451039
-11.272800	0.056213	1.380838	0.003343	0.451262
-11.232498	0.112457	1.390835	0.003336	0.451532
-11.197501	0.174194	1.400832	0.003329	0.451816
-10.696420	0.094643	1.410829	0.003237	0.452200
-10.545998	0.076212	1.420826	0.003210	0.452336
-10.397896	0.081111	1.430822	0.003182	0.452558
-10.151798	0.051531	1.440819	0.003137	0.452782
-10.064404	0.080625	1.450816	0.003121	0.453013
-9.858707	0.094829	1.460813	0.003083	0.453349
-9.685170	0.082260	1.470810	0.003051	0.453538
-9.184601	-0.019805	1.480806	0.002959	0.453834
-9.178750	0.021462	1.490803	0.002958	0.453999
-8.921705	-0.026592	1.500800	0.002911	0.454168
-8.647603	-0.075403	1.510797	0.002861	0.454356
-8.562905	-0.050382	1.520794	0.002845	0.454567
-8.271990	-0.083996	1.530790	0.002792	0.454836
-8.245035	-0.047085	1.540787	0.002787	0.455013
-7.887211	-0.097878	1.550784	0.002721	0.455308
-7.676253	-0.124196	1.560781	0.002682	0.455495
-7.454866	-0.168990	1.570778	0.002641	0.455627
-7.133381	-0.234163	1.580774	0.002582	0.455818
-7.051201	-0.247682	1.590771	0.002567	0.455878
-6.799238	-0.318354	1.600768	0.002521	0.455953
-6.689224	-0.288236	1.610765	0.002501	0.456217
-6.511867	-0.335879	1.620762	0.002468	0.456278
-6.063928	-0.416746	1.630758	0.002386	0.456580
-6.104106	-0.401559	1.640755	0.002393	0.456583
-5.693534	-0.520974	1.650752	0.002318	0.456689
-5.805990	-0.429356	1.660749	0.002338	0.456883
-5.472093	-0.485310	1.670746	0.002277	0.457125
-5.160542	-0.570763	1.680742	0.002220	0.457225
-5.165983	-0.516275	1.690739	0.002221	0.457423
-4.785136	-0.636528	1.700736	0.002151	0.457485
-4.630383	-0.618671	1.710733	0.002122	0.457762
-4.343968	-0.713191	1.720730	0.002070	0.457794
-4.267542	-0.697680	1.730726	0.002056	0.457956
-4.116588	-0.711434	1.740723	0.002028	0.458108
-3.988225	-0.677525	1.750720	0.002004	0.458410
-3.755420	-0.690709	1.760717	0.001961	0.458675
-3.615995	-0.687448	1.770714	0.001936	0.458876
-3.446045	-0.655014	1.780710	0.001905	0.459227
-3.332922	-0.616014	1.790707	0.001884	0.459527
-3.322049	-0.495360	1.800704	0.001882	0.459995
-3.178247	-0.405306	1.810701	0.001855	0.460526
-2.897760	-0.355006	1.820698	0.001804	0.461092
-2.624224	-0.336325	1.830694	0.001754	0.461530
-2.412345	-0.283982	1.840691	0.001715	0.462010
-2.247964	-0.235200	1.850688	0.001684	0.462413
-2.042668	-0.181281	1.860685	0.001647	0.462890
-1.911697	-0.117597	1.870682	0.001623	0.463303
-1.842256	0.019806	1.880678	0.001610	0.463907
-1.565598	0.077739	1.890675	0.001559	0.464492
-1.443046	0.189182	1.900672	0.001536	0.465070
-1.324976	0.314091	1.910669	0.001515	0.465691
-1.068423	0.404183	1.920666	0.001468	0.466366
-0.945614	0.532550	1.930662	0.001445	0.467004
-0.814458	0.676311	1.940659	0.001421	0.467710
-0.681110	0.826284	1.950656	0.001396	0.468440
-0.614290	1.025692	1.960653	0.001384	0.469263
-0.422904	1.200124	1.970650	0.001349	0.470157
-0.402051	1.453456	1.980646	0.001345	0.471114
-0.342513	1.725823	1.990643	0.001334	0.472189
-0.016737	1.900486	2.000640	0.001274	0.473255
0.008007	2.183454	2.010637	0.001270	0.474319
0.000000	2.382857	2.020634	0.001271	0.475034

0.136381	2.657438	2.025638	0.001246	0.476208
-0.044724	2.835505	2.030642	0.001279	0.476618
0.069165	2.812979	2.035647	0.001259	0.476685
0.086587	2.828240	2.040651	0.001255	0.476763
0.251566	2.815611	2.045655	0.001225	0.476931
0.129387	2.865055	2.050660	0.001247	0.476951
0.212656	2.845195	2.055664	0.001232	0.476988
0.111556	2.878523	2.060668	0.001251	0.476977
0.141415	2.861063	2.065673	0.001245	0.476952
0.147229	2.843498	2.070677	0.001244	0.476896
0.214046	2.839205	2.075681	0.001232	0.476968
0.305453	2.822788	2.080686	0.001215	0.477027
0.250490	2.864198	2.085690	0.001225	0.477105
0.049184	2.901986	2.090694	0.001262	0.476980
0.317168	2.806266	2.095699	0.001213	0.476982
0.104174	2.889272	2.100703	0.001252	0.477006
0.106720	2.873355	2.105707	0.001252	0.476951
0.002552	2.877223	2.110712	0.001271	0.476830
-0.070645	2.873109	2.115716	0.001284	0.476720
0.082104	2.817257	2.120721	0.001256	0.476716
0.216215	2.824838	2.125725	0.001232	0.476918
0.205571	2.843403	2.130729	0.001234	0.476971
0.157735	2.857549	2.135734	0.001242	0.476960
